"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"C1";"0.1uF";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"38";"";
"C2";"22pF";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"38";"";
"C3";"22pF";"C2,5-3";"C2.5-3";"CAPACITOR";"";"";"";"";"38";"";
"C5";"470uF";"CPOL-US153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"8";"C";
"D1";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"82";"";
"D2";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"82";"";
"D3";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"82";"";
"IC1";"LD117AV50";"LD117AV50";"TO220L1";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";"0";"";
"IC2";"MEGA8-P";"MEGA8-P";"DIL28-3";"MICROCONTROLLER";"";"";"unknown";"unknown";"17";"";
"J1";"DCJ0202";"DCJ0202";"DCJ0202";"DC POWER JACK";"";"";"unknown";"unknown";"17";"";
"LED1";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"93";"";
"LED2";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"93";"";
"LED3";"";"LED5MM";"LED5MM";"LED";"";"";"";"";"93";"";
"Q1";"16Mhz";"XTAL/S";"QS";"CRYSTAL";"";"";"";"";"59";"";
"R1";"150";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"36";"R";
"R2";"150";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"36";"R";
"R3";"150";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"36";"R";
"R4";"200";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"36";"R";
"R5";"200";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"36";"R";
"R6";"200";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"36";"R";
"R7";"10k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";"36";"R";
"R10";"US-EVUF3L";"US-EVUF3L";"EVUFXL";"9 mm Square Rotary Potentiometers";"";"";"";"";"0";"";
"R11";"US-EVUF3L";"US-EVUF3L";"EVUFXL";"9 mm Square Rotary Potentiometers";"";"";"";"";"0";"";
"S1";"RDT1034";"RDT1034";"RDT1034";"PUSH SWITCH";"";"";"";"";"4";"";
"SV1";"";"FE05-1";"FE05-1";"FEMALE HEADER";"";"";"unknown";"unknown";"7";"";
"T1";"";"MPS2222A-NPN-TO92-CBE";"TO92-CBE";"NPN Transistror";"";"";"";"";"0";"";
"T2";"";"MPS2222A-NPN-TO92-CBE";"TO92-CBE";"NPN Transistror";"";"";"";"";"0";"";
"T3";"";"MPS2222A-NPN-TO92-CBE";"TO92-CBE";"NPN Transistror";"";"";"";"";"0";"";
"X2";"";"F09HP";"F09HP";"SUB-D";"";"";"unknown";"unknown";"2";"";
